Source;Target;Weight;Season;Gender
CERSEI;TYRION;177;2;F
DAENERYS;JORAH;119;2;F
ARYA;JAQEN;113;2;F
DAVOS;STANNIS;111;2;M
JON;YGRITTE;110;2;M
ROBB;TALISA;108;2;M
ARYA;TYWIN;103;2;F
TYRION;VARYS;103;2;M
SHAE;TYRION;95;2;F
BRONN;TYRION;87;2;M
THEON;YARA;87;2;M
CATELYN;ROBB;82;2;F
DAENERYS;XARO;80;2;F
JOFFREY;TYRION;79;2;M
ARYA;GENDRY;78;2;F
CERSEI;SANSA;73;2;F
JON;QHORIN;71;2;M
SANSA;SHAE;60;2;F
BALON;THEON;59;2;M
DAENERYS;SPICE_KING;58;2;F
DAVOS;MATTHOS;57;2;M
MELISANDRE;STANNIS;57;2;F
BRAN;OSHA;56;2;M
JOFFREY;SANSA;56;2;M
BRIENNE;CATELYN;54;2;F
CERSEI;JOFFREY;50;2;F
BRIENNE;JAIME;49;2;F
PYCELLE;TYRION;49;2;M
DAGMER;THEON;48;2;M
HOUND;JOFFREY;48;2;M
MAESTER_LUWIN;THEON;48;2;M
BRAN;THEON;47;2;M
ALTON;JAIME;46;2;M
ARYA;HOT_PIE;43;2;F
DAVOS;MELISANDRE;40;2;M
HOUND;SANSA;40;2;M
RENLY;STANNIS;40;2;M
JANOS;TYRION;39;2;M
JON;SAM;39;2;M
LORAS;TYRION;38;2;M
JEOR;JON;37;2;M
LANCEL;TYRION;37;2;M
PODRICK;TYRION;37;2;M
OSHA;THEON;36;2;F
MARGAERY;RENLY;35;2;
EDDISON_TOLLETT;SAM;34;2;M
GRENN;SAM;34;2;M
ROBB;ROOSE_BOLTON;34;2;M
LITTLEFINGER;TYRION;33;2;M
BRAN;RICKON;32;2;M
BRIENNE;RENLY;31;2;F
DAENERYS;KOVARRO;31;2;F
JAIME;ROBB;31;2;M
CATELYN;RENLY;30;2;F
BRAN;MAESTER_LUWIN;29;2;M
CRASTER;JEOR;29;2;M
HOUND;TYRION;29;2;M
BRAN;HODOR;28;2;M
GENDRY;HOT_PIE;28;2;M
LITTLEFINGER;MARGAERY;28;2;M
LITTLEFINGER;TYWIN;28;2;M
QHORIN;YGRITTE;28;2;M
CERSEI;LITTLEFINGER;27;2;F
DAVOS;SALLADHOR;27;2;M
EDDISON_TOLLETT;GRENN;27;2;M
CATELYN;JAIME;25;2;F
CERSEI;TOMMEN;25;2;F
SANSA;TYRION;25;2;F
CATELYN;LITTLEFINGER;24;2;F
CERSEI;LANCEL;24;2;F
GILLY;SAM;24;2;M
LORAS;RENLY;24;2;M
DAENERYS;PYATT_PREE;23;2;F
LORAS;MARGAERY;23;2;M
