Source;Target;Weight;Season;Gender
JON;YGRITTE;159;3;M
BRIENNE;JAIME;127;3;F
TYRION;TYWIN;115;3;M
RAMSAY;THEON;114;3;M
CERSEI;TYRION;95;3;F
GILLY;SAM;95;3;M
ROBB;TALISA;89;3;M
SANSA;TYRION;85;3;F
ARYA;HOUND;79;3;F
DAVOS;STANNIS;77;3;M
SHAE;TYRION;75;3;F
BRONN;TYRION;71;3;M
DAENERYS;JORAH;69;3;M
BRAN;OSHA;68;3;M
DAENERYS;MISSANDEI;67;3;M
BRAN;JOJEN;65;3;M
JOFFREY;MARGAERY;64;3;M
ARYA;THOROS;63;3;F
MARGAERY;SANSA;63;3;F
JAIME;LOCKE;59;3;M
BARRISTAN;JORAH;57;3;M
CERSEI;TYWIN;57;3;F
CERSEI;JOFFREY;54;3;F
CATELYN;ROBB;52;3;F
KRAZNYS_MO_NAKLOZ;MISSANDEI;52;3;M
JAIME;QYBURN;51;3;M
DAVOS;GENDRY;50;3;M
JOFFREY;TYWIN;49;3;M
MELISANDRE;STANNIS;49;3;F
EDMURE;ROBB;46;3;M
GENDRY;MELISANDRE;46;3;M
ARYA;GENDRY;45;3;F
SANSA;SHAE;45;3;F
BRAN;HODOR;39;3;M
DAVOS;SHIREEN;38;3;M
OLENNA;VARYS;38;3;F
RICKARD_KARSTARK;ROBB;38;3;M
BARRISTAN;DAENERYS;37;3;M
JON;ORELL;37;3;M
DAARIO;DAENERYS;36;3;M
JON;MANCE;36;3;M
LITTLEFINGER;SANSA;36;3;M
PODRICK;TYRION;36;3;M
OLENNA;TYWIN;35;3;F
JON;TORMUND;34;3;M
MEERA;OSHA;34;3;F
ARYA;BERIC;33;3;F
CATELYN;TALISA;33;3;F
CERSEI;MARGAERY;33;3;F
DAVOS;MELISANDRE;33;3;M
ORELL;YGRITTE;32;3;M
LORAS;SANSA;31;3;M
OLENNA;TYRION;31;3;F
OLENNA;SANSA;30;3;F
ORELL;TORMUND;30;3;M
BRAN;MEERA;29;3;M
JAIME;ROOSE_BOLTON;29;3;M
TORMUND;YGRITTE;29;3;M
BERIC;THOROS;28;3;M
DAVOS;SALLADHOR;28;3;M
JOJEN;OSHA;28;3;M
