Source;Target;Type;Weight;book;Gender
Aegon-I-Targaryen;Harren-Hoare;Undirected;4;2;M
Aegon-I-Targaryen;Nan;Undirected;3;2;M
Aegon-I-Targaryen;Rhaenys-Targaryen;Undirected;4;2;M
Aegon-I-Targaryen;Tyrion-Lannister;Undirected;3;2;M
Aegon-I-Targaryen;Visenya-Targaryen;Undirected;3;2;M
Aegon-V-Targaryen;Aemon-Targaryen-(Maester-Aemon);Undirected;3;2;M
Aemon-Targaryen-(Maester-Aemon);Daeron-II-Targaryen;Undirected;3;2;M
Aemon-Targaryen-(Maester-Aemon);Jeor-Mormont;Undirected;9;2;M
Aemon-Targaryen-(Maester-Aemon);JON;Undirected;11;2;M
Aemon-Targaryen-(Maester-Aemon);Maekar-I-Targaryen;Undirected;3;2;M
Aemon-Targaryen-(Maester-Aemon);SAM;Undirected;5;2;M
Aenys-Frey;ARYA;Undirected;6;2;M
Aeron-Greyjoy;Dagmer;Undirected;5;2;M
Aeron-Greyjoy;Theon-Greyjoy;Undirected;17;2;M
Aerys-I-Targaryen;ROBERT;Undirected;3;2;M
Aerys-II-Targaryen;NED;Undirected;5;2;M
Aerys-II-Targaryen;Jaime-Lannister;Undirected;4;2;M
Aerys-II-Targaryen;Rhaegar-Targaryen;Undirected;4;2;M
Aerys-II-Targaryen;ROBERT;Undirected;6;2;M
Aerys-II-Targaryen;Tyrion-Lannister;Undirected;3;2;M
Aggar;Gariss;Undirected;3;2;M
Aggar;Gelmarr;Undirected;3;2;M
Aggar;Gynir;Undirected;3;2;M
Aggar;Ramsay-Snow;Undirected;4;2;M
Aggo;Belwas;Undirected;3;2;M
Aggo;DAENERYS;Undirected;10;2;M
Aggo;Jhogo;Undirected;12;2;M
Aggo;JORAH;Undirected;4;2;M
Aggo;Rakharo;Undirected;4;2;M
Alayaya;Dancy;Undirected;3;2;F
Alayaya;Tyrion-Lannister;Undirected;3;2;F
Alebelly;Bran-Stark;Undirected;7;2;F
Alebelly;Hayhead;Undirected;3;2;F
Alebelly;Jojen-Reed;Undirected;6;2;F
Alebelly;Mikken;Undirected;3;2;F
Alester-Florent;Cortnay-Penrose;Undirected;4;2;M
Alester-Florent;Davos-Seaworth;Undirected;3;2;M
Alester-Florent;Renly-Baratheon;Undirected;3;2;M
Alester-Florent;Stannis-Baratheon;Undirected;5;2;M
Allar-Deem;Janos-Slynt;Undirected;3;2;M
Allar-Deem;Tyrion-Lannister;Undirected;4;2;M
Allard-Seaworth;Davos-Seaworth;Undirected;5;2;M
Allard-Seaworth;Marya-Seaworth;Undirected;5;2;M
Allard-Seaworth;Stannis-Baratheon;Undirected;3;2;M
Alliser-Thorne;Jeor-Mormont;Undirected;3;2;M
Alliser-Thorne;Joffrey-Baratheon;Undirected;4;2;M
Alliser-Thorne;JON;Undirected;3;2;M
Alliser-Thorne;Tyrion-Lannister;Undirected;8;2;M
Amabel;ARYA;Undirected;6;2;F
Amabel;Harra;Undirected;4;2;F
Amory-Lorch;ARYA;Undirected;9;2;M
Amory-Lorch;Cersei-Lannister;Undirected;4;2;M
Amory-Lorch;Chiswyck;Undirected;4;2;M
Amory-Lorch;Dunsen;Undirected;3;2;M
Amory-Lorch;Gendry;Undirected;3;2;M
Amory-Lorch;Gregor-Clegane;Undirected;7;2;M
Amory-Lorch;Hot-Pie;Undirected;3;2;M
Amory-Lorch;Ilyn-Payne;Undirected;4;2;M
Amory-Lorch;Joffrey-Baratheon;Undirected;7;2;M
Amory-Lorch;Meryn-Trant;Undirected;5;2;M
Amory-Lorch;Polliver;Undirected;3;2;M
Amory-Lorch;Rafford;Undirected;5;2;M
Amory-Lorch;Roose-Bolton;Undirected;3;2;M
Amory-Lorch;Sandor-Clegane;Undirected;5;2;M
Amory-Lorch;Tickler;Undirected;5;2;M
Amory-Lorch;Tywin-Lannister;Undirected;4;2;M
Amory-Lorch;Vargo-Hoat;Undirected;7;2;M
Amory-Lorch;Yoren;Undirected;5;2;M
Ardrian-Celtigar;Monford-Velaryon;Undirected;5;2;M
Aron-Santagar;Sandor-Clegane;Undirected;3;2;M
Arwyn-Oakheart;Randyll-Tarly;Undirected;3;2;M
ARYA;Beric-Dondarrion;Undirected;5;2;F
ARYA;Biter;Undirected;10;2;F
ARYA;Bran-Stark;Undirected;10;2;F
ARYA;Cersei-Lannister;Undirected;7;2;F
ARYA;Chiswyck;Undirected;8;2;F
ARYA;Dobber;Undirected;4;2;F
ARYA;Dunsen;Undirected;3;2;F
ARYA;NED;Undirected;6;2;F
ARYA;Gendry;Undirected;36;2;F
