Source;Target;Type;Weight;book;Gender
Addam-Marbrand;Brynden-Tully;undirected;3;4;M
Addam-Marbrand;Cersei-Lannister;undirected;3;4;M
Addam-Marbrand;Jaime-Lannister;undirected;8;4;M
Addam-Marbrand;Lyle-Crakehall;undirected;4;4;M
Aegon-Targaryen-(son-of-Rhaegar);Rhaegar-Targaryen;undirected;3;4;M
Aegon-V-Targaryen;Aemon-Targaryen-(Maester-Aemon);undirected;3;4;M
Aemon-Targaryen-(Maester-Aemon);Alleras;undirected;4;4;M
Aemon-Targaryen-(Maester-Aemon);Clydas;undirected;5;4;M
Aemon-Targaryen-(Maester-Aemon);Dareon;undirected;5;4;M
Aemon-Targaryen-(Maester-Aemon);Gilly;undirected;17;4;M
Aemon-Targaryen-(Maester-Aemon);JON;undirected;17;4;M
Aemon-Targaryen-(Maester-Aemon);SAM;undirected;41;4;M
Aeron-Greyjoy;Asha-Greyjoy;undirected;7;4;M
Aeron-Greyjoy;Baelor-Blacktyde;undirected;4;4;M
Aeron-Greyjoy;Balon-Greyjoy;undirected;17;4;M
Aeron-Greyjoy;Dunstan-Drumm;undirected;4;4;M
Aeron-Greyjoy;Emmond;undirected;4;4;M
Aeron-Greyjoy;Euron-Greyjoy;undirected;23;4;M
Aeron-Greyjoy;Gormond-Goodbrother;undirected;6;4;M
Aeron-Greyjoy;Gorold-Goodbrother;undirected;10;4;M
Aeron-Greyjoy;Greydon-Goodbrother;undirected;4;4;M
Aeron-Greyjoy;Meldred-Merlyn;undirected;7;4;M
Aeron-Greyjoy;Murenmure;undirected;11;4;M
Aeron-Greyjoy;Rus;undirected;5;4;M
Aeron-Greyjoy;Theon-Greyjoy;undirected;3;4;M
Aeron-Greyjoy;Victarion-Greyjoy;undirected;17;4;M
Aerys-II-Targaryen;Barristan-Selmy;undirected;4;4;M
Aerys-II-Targaryen;Cersei-Lannister;undirected;3;4;M
Aerys-II-Targaryen;Denys-Darklyn;undirected;4;4;M
Aerys-II-Targaryen;Elbert-Arryn;undirected;3;4;M
Aerys-II-Targaryen;Jaime-Lannister;undirected;6;4;M
Aerys-II-Targaryen;Owen-Merryweather;undirected;3;4;M
Aerys-II-Targaryen;Rhaegar-Targaryen;undirected;5;4;M
Aerys-II-Targaryen;ROBERT;undirected;3;4;M
Aerys-II-Targaryen;Tywin-Lannister;undirected;10;4;M
Alla-Tyrell;Elinor-Tyrell;undirected;8;4;F
Alla-Tyrell;Margaery-Tyrell;undirected;7;4;F
Alla-Tyrell;Megga-Tyrell;undirected;10;4;F
Alla-Tyrell;Osney-Kettleblack;undirected;3;4;F
Alleras;Armen;undirected;5;4;M
Alleras;Leo-Tyrell;undirected;7;4;M
Alleras;Marwyn;undirected;3;4;M
Alleras;Mollander;undirected;7;4;M
Alleras;Pate-(novice);undirected;8;4;M
Alleras;Roone;undirected;6;4;M
Alleras;SAM;undirected;8;4;M
Alys-Arryn;Elys-Waynwood;undirected;4;4;F
Alys-Arryn;Jon-Arryn;undirected;3;4;F
Amerei-Frey;Jaime-Lannister;undirected;6;4;F
Amerei-Frey;Lancel-Lannister;undirected;10;4;F
Amerei-Frey;Lyle-Crakehall;undirected;4;4;F
Anders-Yronwood;Quentyn-Martell;undirected;4;4;M
Andrey-Dalt;Arianne-Martell;undirected;10;4;M
Andrey-Dalt;Garin-(orphan);undirected;11;4;M
Andrey-Dalt;Myrcella-Baratheon;undirected;4;4;M
Andrey-Dalt;Sylva-Santagar;undirected;8;4;M
Andrey-Dalt;Tyene-Sand;undirected;4;4;M
Anya-Waynwood;Benedar-Belmore;undirected;4;4;
Anya-Waynwood;Gilwood-Hunter;undirected;6;4;
Anya-Waynwood;Harrold-Hardyng;undirected;6;4;
Anya-Waynwood;Horton-Redfort;undirected;7;4;
Anya-Waynwood;LITTLEFINGER;undirected;10;4;
Anya-Waynwood;Symond-Templeton;undirected;6;4;
Anya-Waynwood;Yohn-Royce;undirected;5;4;
Areo-Hotah;Arianne-Martell;undirected;17;4;M
Areo-Hotah;Arys-Oakheart;undirected;7;4;M
Areo-Hotah;Caleotte;undirected;7;4;M
Areo-Hotah;Doran-Martell;undirected;32;4;M
Areo-Hotah;Myrcella-Baratheon;undirected;5;4;M
Areo-Hotah;Obara-Sand;undirected;7;4;M
Areo-Hotah;Oberyn-Martell;undirected;3;4;M
Arianne-Martell;Arys-Oakheart;undirected;19;4;F
Arianne-Martell;Cedra;undirected;8;4;F
Arianne-Martell;Doran-Martell;undirected;15;4;F
Arianne-Martell;Franklyn-Fowler;undirected;3;4;F
Arianne-Martell;Garin-(orphan);undirected;18;4;F
Arianne-Martell;Gerold-Dayne;undirected;11;4;F
Arianne-Martell;Mellei;undirected;3;4;F
Arianne-Martell;Morra;undirected;3;4;F
Arianne-Martell;Myrcella-Baratheon;undirected;12;4;F
Arianne-Martell;Oberyn-Martell;undirected;3;4;F
