Source;Target;Weight;Season;Gender
ARYA;JAQEN;148;5;F
JORAH;TYRION;141;5;M
BRONN;JAIME;121;5;M
TYRION;VARYS;110;5;M
DAENERYS;TYRION;98;5;F
CERSEI;HIGH_SPARROW;96;5;F
BRIENNE;PODRICK;90;5;F
JON;STANNIS;90;5;M
LITTLEFINGER;SANSA;89;5;M
JON;SAM;85;5;M
GILLY;SAM;83;5;M
DAARIO;DAENERYS;81;5;M
MARGAERY;TOMMEN;79;5;F
SANSA;THEON;77;5;F
DAENERYS;HIZDAHR;69;5;F
DAVOS;STANNIS;68;5;M
JON;TORMUND;63;5;M
CERSEI;TOMMEN;62;5;F
JAIME;MYRCELLA;58;5;M
MYRANDA;SANSA;58;5;F
RAMSAY;THEON;58;5;M
MELISANDRE;STANNIS;52;5;F
RAMSAY;ROOSE_BOLTON;51;5;M
RAMSAY;SANSA;51;5;M
CERSEI;LITTLEFINGER;50;5;F
ARYA;WAIF;48;5;F
SHIREEN;STANNIS;47;5;F
CERSEI;MARGAERY;46;5;F
CERSEI;QYBURN;41;5;F
JON;OLLY;41;5;M
CERSEI;JAIME;40;5;F
DAENERYS;JORAH;40;5;F
JON;MELISANDRE;39;5;M
BARRISTAN;DAENERYS;38;5;M
DAVOS;JON;35;5;M
DAVOS;SHIREEN;35;5;M
BRONN;TYENE;34;5;M
DORAN;ELLARIA;33;5;M
JON;MANCE;33;5;M
ALLISER_THORNE;JON;32;5;M
JAQEN;WAIF;32;5;M
HIGH_SPARROW;OLENNA;30;5;M
LORAS;MARGAERY;30;5;M
OLLY;SAM;30;5;F
GREY_WORM;MISSANDEI;29;5;M
CERSEI;MACE;28;5;F
DAENERYS;MOSSADOR;28;5;F
JON;KARSI;28;5;M
MYRANDA;RAMSAY;28;5;F
AREO;DORAN;27;5;M
BRIENNE;LITTLEFINGER;27;5;F
DAARIO;TYRION;27;5;M
CERSEI;OLENNA;26;5;F
DAARIO;HIZDAHR;24;5;M
DORAN;JAIME;24;5;M
MYRCELLA;TRYSTANE;24;5;F
SAM;STANNIS;24;5;M
DAENERYS;MISSANDEI;22;5;F
LITTLEFINGER;ROOSE_BOLTON;22;5;M
CERSEI;KEVAN;21;5;F
HIGH_SPARROW;LORAS;21;5;M
CERSEI;MAGGY;20;5;F
DAARIO;GREY_WORM;20;5;M
JANOS;JON;20;5;M
SELYSE;SHIREEN;20;5;F
AREO;BRONN;19;5;M
ELLARIA;JAIME;19;5;F
KARSI;TORMUND;19;5;
TYCHO;MACE;19;5;M
AREO;JAIME;18;5;M
CERSEI;LANCEL;18;5;F
CERSEI;PYCELLE;18;5;F
GILLY;SHIREEN;18;5;M
