Source;Target;Weight;Season;Gender
ARYA;HOUND;162;4;F
JAIME;TYRION;147;4;M
CERSEI;JAIME;131;4;F
DAENERYS;JORAH;106;4;F
CERSEI;TYWIN;104;4;F
LITTLEFINGER;SANSA;96;4;M
TYRION;TYWIN;94;4;M
JON;SAM;89;4;M
LYSA;SANSA;88;4;F
BRONN;TYRION;86;4;M
JAIME;TYWIN;83;4;M
PODRICK;TYRION;80;4;M
GILLY;SAM;79;4;M
OBERYN;TYWIN;79;4;M
BRIENNE;PODRICK;78;4;F
OBERYN;TYRION;78;4;M
SHAE;TYRION;78;4;F
ALLISER_THORNE;JON;68;4;M
JOFFREY;TYRION;64;4;M
DAENERYS;MISSANDEI;63;4;F
RAMSAY;THEON;63;4;M
CERSEI;OBERYN;57;4;F
LITTLEFINGER;LYSA;55;4;M
DAARIO;DAENERYS;54;4;M
GRENN;JON;52;4;M
DAVOS;STANNIS;51;4;M
GREY_WORM;MISSANDEI;50;4;M
JON;MANCE;50;4;M
ELLARIA;OBERYN;48;4;F
BRAN;MEERA;47;4;M
MARGAERY;OLENNA;46;4;
SANSA;TYRION;46;4;F
ROBIN;SANSA;45;4;M
BRAN;HODOR;44;4;M
JOJEN;MEERA;44;4;M
CERSEI;JOFFREY;43;4;F
CERSEI;TYRION;43;4;F
TOMMEN;TYWIN;43;4;M
BRAN;JOJEN;42;4;M
EDDISON_TOLLETT;JON;41;4;M
BRIENNE;JAIME;40;4;F
JANOS;JON;39;4;M
RAMSAY;ROOSE_BOLTON;39;4;M
CERSEI;MARGAERY;38;4;F
ARYA;BRIENNE;36;4;F
JOFFREY;MARGAERY;36;4;M
MELISANDRE;SELYSE;36;4;F
JON;TORMUND;35;4;M
BARRISTAN;JORAH;34;4;M
OBERYN;VARYS;34;4;M
PYP;SAM;34;4;M
BARRISTAN;DAENERYS;32;4;M
STYR;YGRITTE;32;4;M
EDDISON_TOLLETT;GRENN;31;4;M
JAIME;JOFFREY;31;4;M
DONTOS;SANSA;30;4;M
JOFFREY;TYWIN;30;4;M
LITTLEFINGER;YOHN_ROYCE;30;4;M
BRONN;JAIME;29;4;M
HOUND;POLLIVER;29;4;M
