Source,Target,Type,Weight,book
ADDAM_MARBRAND,GYLES-ROSBY,UNDIRECTED,3,3
ADDAM_MARBRAND,JAIME,UNDIRECTED,3,3
ADDAM_MARBRAND,JALABHAR-XHO,UNDIRECTED,3,3
ADDAM_MARBRAND,JOFFREY,UNDIRECTED,3,3
ADDAM_MARBRAND,KEVAN,UNDIRECTED,3,3
ADDAM_MARBRAND,OBERYN,UNDIRECTED,3,3
ADDAM_MARBRAND,TYRION,UNDIRECTED,7,3
ADDAM_MARBRAND,VARYS,UNDIRECTED,4,3
AEGON-(SON-OF-STEVRON),CATELYN,UNDIRECTED,4,3
AEGON-(SON-OF-STEVRON),ROBB,UNDIRECTED,5,3
AEGON-(SON-OF-STEVRON),STEVRON_FREY,UNDIRECTED,3,3
AEGON-(SON-OF-STEVRON),WALDER,UNDIRECTED,6,3
AEGON,DAENERYS,UNDIRECTED,4,3
AEGON,STANNIS,UNDIRECTED,4,3
AEGON,TORRHEN,UNDIRECTED,3,3
AEGON-(SON-OF-RHAEGAR),ELIA,UNDIRECTED,3,3
AEMON-(DRAGONKNIGHT),JAIME,UNDIRECTED,3,3
MAESTER_AEMON,ALLISER_THORNE,UNDIRECTED,3,3
MAESTER_AEMON,CLYDAS,UNDIRECTED,16,3
MAESTER_AEMON,COTTER-PYKE,UNDIRECTED,3,3
MAESTER_AEMON,DENYS-MALLISTER,UNDIRECTED,4,3
MAESTER_AEMON,DONAL-NOYE,UNDIRECTED,11,3
MAESTER_AEMON,EDDISON_TOLLETT,UNDIRECTED,3,3
MAESTER_AEMON,GRENN,UNDIRECTED,5,3
MAESTER_AEMON,HOBB,UNDIRECTED,3,3
MAESTER_AEMON,JANOS,UNDIRECTED,5,3
MAESTER_AEMON,JEOR,UNDIRECTED,3,3
MAESTER_AEMON,JON,UNDIRECTED,36,3
MAESTER_AEMON,MANCE,UNDIRECTED,5,3
MAESTER_AEMON,OWEN,UNDIRECTED,3,3
MAESTER_AEMON,PYPAR,UNDIRECTED,5,3
MAESTER_AEMON,ROBERT,UNDIRECTED,5,3
MAESTER_AEMON,SAM,UNDIRECTED,32,3
MAESTER_AEMON,STANNIS,UNDIRECTED,9,3
MAESTER_AEMON,WYNTON-STOUT,UNDIRECTED,3,3
AERYS,ARTHUR-DAYNE,UNDIRECTED,5,3
AERYS,BRIENNE,UNDIRECTED,3,3
AERYS,JAIME,UNDIRECTED,22,3
AERYS,JOFFREY,UNDIRECTED,6,3
AERYS,ROBERT,UNDIRECTED,9,3
AERYS,ROSSART,UNDIRECTED,4,3
AERYS,TYRION,UNDIRECTED,6,3
AERYS,TYWIN,UNDIRECTED,10,3
AERYS,VISERYS,UNDIRECTED,3,3
AGGO,JHOGO,UNDIRECTED,4,3
AGGO,RAKHARO,UNDIRECTED,3,3
ALAYAYA,BRONN,UNDIRECTED,3,3
ALAYAYA,CERSEI,UNDIRECTED,3,3
ALAYAYA,TYRION,UNDIRECTED,4,3
ALERIE-HIGHTOWER,MACE,UNDIRECTED,3,3
ALERIE-HIGHTOWER,MARGAERY,UNDIRECTED,3,3
ALESTER-FLORENT,AXELL_FLORENT,UNDIRECTED,4,3
ALESTER-FLORENT,DAVOS-SEAWORTH,UNDIRECTED,11,3
ALESTER-FLORENT,LAMPREY,UNDIRECTED,3,3
ALESTER-FLORENT,SELYSE-FLORENT,UNDIRECTED,4,3
ALESTER-FLORENT,STANNIS,UNDIRECTED,4,3
ALLA,ELINOR,UNDIRECTED,5,3
ALLA,MEGGA,UNDIRECTED,6,3
ALLA,SANSA,UNDIRECTED,4,3
ALLISER_THORNE,JANOS,UNDIRECTED,13,3
ALLISER_THORNE,JON,UNDIRECTED,22,3
ALLISER_THORNE,MANCE,UNDIRECTED,6,3
ALLISER_THORNE,QHORIN_HALFHAND,UNDIRECTED,4,3
ALLISER_THORNE,SAM,UNDIRECTED,4,3
ALLISER_THORNE,STANNIS,UNDIRECTED,3,3
AMORY-LORCH,MOUNTAIN,UNDIRECTED,3,3
AMORY-LORCH,JAIME,UNDIRECTED,3,3
AMORY-LORCH,OBERYN,UNDIRECTED,6,3
AMORY-LORCH,TYWIN,UNDIRECTED,4,3
AMORY-LORCH,VARGO-HOAT,UNDIRECTED,3,3
ANDERS-YRONWOOD,OBERYN,UNDIRECTED,3,3
ANDREW-ESTERMONT,DAVOS-SEAWORTH,UNDIRECTED,4,3
ANDREW-ESTERMONT,EDRIC-STORM,UNDIRECTED,4,3
ANDREW-ESTERMONT,GERALD-GOWER,UNDIRECTED,3,3
ANGUY,ARYA,UNDIRECTED,15,3
ANGUY,BERIC,UNDIRECTED,4,3
ANGUY,GREENBEARD,UNDIRECTED,9,3
ANGUY,HARWIN,UNDIRECTED,7,3
ANGUY,HUSBAND,UNDIRECTED,3,3
ANGUY,LEM,UNDIRECTED,22,3
ANGUY,HOUND,UNDIRECTED,3,3
ANGUY,SHARNA,UNDIRECTED,6,3
