Source,Target,Type,Weight,book
ADDAM_MARBRAND,BRYNDEN,UNDIRECTED,3,4
ADDAM_MARBRAND,CERSEI,UNDIRECTED,3,4
ADDAM_MARBRAND,JAIME,UNDIRECTED,8,4
ADDAM_MARBRAND,LYLE-CRAKEHALL,UNDIRECTED,4,4
AEGON-(SON-OF-RHAEGAR),RHAEGAR,UNDIRECTED,3,4
AEGON,MAESTER_AEMON,UNDIRECTED,3,4
MAESTER_AEMON,ALLERAS,UNDIRECTED,4,4
MAESTER_AEMON,CLYDAS,UNDIRECTED,5,4
MAESTER_AEMON,DAREON,UNDIRECTED,5,4
MAESTER_AEMON,GILLY,UNDIRECTED,17,4
MAESTER_AEMON,JON,UNDIRECTED,17,4
MAESTER_AEMON,SAM,UNDIRECTED,41,4
AERON,ASHA,UNDIRECTED,7,4
AERON,BAELOR-BLACKTYDE,UNDIRECTED,4,4
AERON,BALON,UNDIRECTED,17,4
AERON,DUNSTAN-DRUMM,UNDIRECTED,4,4
AERON,EMMOND,UNDIRECTED,4,4
AERON,EURON,UNDIRECTED,23,4
AERON,GORMOND-GOODBROTHER,UNDIRECTED,6,4
AERON,GOROLD-GOODBROTHER,UNDIRECTED,10,4
AERON,GREYDON-GOODBROTHER,UNDIRECTED,4,4
AERON,MELDRED-MERLYN,UNDIRECTED,7,4
AERON,MURENMURE,UNDIRECTED,11,4
AERON,RUS,UNDIRECTED,5,4
AERON,THEON,UNDIRECTED,3,4
AERON,VICTARION,UNDIRECTED,17,4
AERYS,BARRISTAN,UNDIRECTED,4,4
AERYS,CERSEI,UNDIRECTED,3,4
AERYS,DENYS-DARKLYN,UNDIRECTED,4,4
AERYS,ELBERT,UNDIRECTED,3,4
AERYS,JAIME,UNDIRECTED,6,4
AERYS,OWEN-MERRYWEATHER,UNDIRECTED,3,4
AERYS,RHAEGAR,UNDIRECTED,5,4
AERYS,ROBERT,UNDIRECTED,3,4
AERYS,TYWIN,UNDIRECTED,10,4
ALLA,ELINOR,UNDIRECTED,8,4
ALLA,MARGAERY,UNDIRECTED,7,4
ALLA,MEGGA,UNDIRECTED,10,4
ALLA,OSNEY-KETTLEBLACK,UNDIRECTED,3,4
ALLERAS,ARMEN,UNDIRECTED,5,4
ALLERAS,LEO,UNDIRECTED,7,4
ALLERAS,MARWYN,UNDIRECTED,3,4
ALLERAS,MOLLANDER,UNDIRECTED,7,4
ALLERAS,PATE-(NOVICE),UNDIRECTED,8,4
ALLERAS,ROONE,UNDIRECTED,6,4
ALLERAS,SAM,UNDIRECTED,8,4
ALYS,ELYS-WAYNWOOD,UNDIRECTED,4,4
ALYS,JON_ARRYN,UNDIRECTED,3,4
AMEREI,JAIME,UNDIRECTED,6,4
AMEREI,LANCEL,UNDIRECTED,10,4
AMEREI,LYLE-CRAKEHALL,UNDIRECTED,4,4
ANDERS-YRONWOOD,QUENTYN,UNDIRECTED,4,4
ANDREY-DALT,ARIANNE,UNDIRECTED,10,4
ANDREY-DALT,GARIN-(ORPHAN),UNDIRECTED,11,4
ANDREY-DALT,MYRCELLA,UNDIRECTED,4,4
ANDREY-DALT,SYLVA-SANTAGAR,UNDIRECTED,8,4
ANDREY-DALT,TYENE,UNDIRECTED,4,4
ANYA_WAYNWOOD,BENEDAR-BELMORE,UNDIRECTED,4,4
ANYA_WAYNWOOD,GILWOOD,UNDIRECTED,6,4
ANYA_WAYNWOOD,HARROLD-HARDYNG,UNDIRECTED,6,4
ANYA_WAYNWOOD,HORTON-REDFORT,UNDIRECTED,7,4
ANYA_WAYNWOOD,LITTLEFINGER,UNDIRECTED,10,4
ANYA_WAYNWOOD,SYMOND-TEMPLETON,UNDIRECTED,6,4
ANYA_WAYNWOOD,YOHN_ROYCE,UNDIRECTED,5,4
AREO-HOTAH,ARIANNE,UNDIRECTED,17,4
AREO-HOTAH,ARYS-OAKHEART,UNDIRECTED,7,4
