Source,Target,Type,Weight,book
AEGON,HARREN-HOARE,UNDIRECTED,4,2
AEGON,NAN,UNDIRECTED,3,2
AEGON,RHAENYS,UNDIRECTED,4,2
AEGON,TYRION,UNDIRECTED,3,2
AEGON,VISENYA,UNDIRECTED,3,2
AEGON,MAESTER_AEMON,UNDIRECTED,3,2
MAESTER_AEMON,DAERON,UNDIRECTED,3,2
MAESTER_AEMON,JEOR,UNDIRECTED,9,2
MAESTER_AEMON,JON,UNDIRECTED,11,2
MAESTER_AEMON,MAEKAR,UNDIRECTED,3,2
MAESTER_AEMON,SAM,UNDIRECTED,5,2
AENYS,ARYA,UNDIRECTED,6,2
AERON,DAGMER,UNDIRECTED,5,2
AERON,THEON,UNDIRECTED,17,2
AERYS,ROBERT,UNDIRECTED,3,2
AERYS,NED,UNDIRECTED,5,2
AERYS,JAIME,UNDIRECTED,4,2
AERYS,RHAEGAR,UNDIRECTED,4,2
AERYS,ROBERT,UNDIRECTED,6,2
AERYS,TYRION,UNDIRECTED,3,2
AGGAR,GARISS,UNDIRECTED,3,2
AGGAR,GELMARR,UNDIRECTED,3,2
AGGAR,GYNIR,UNDIRECTED,3,2
AGGAR,RAMSAY,UNDIRECTED,4,2
AGGO,BELWAS,UNDIRECTED,3,2
AGGO,DAENERYS,UNDIRECTED,10,2
AGGO,JHOGO,UNDIRECTED,12,2
AGGO,JORAH,UNDIRECTED,4,2
AGGO,RAKHARO,UNDIRECTED,4,2
ALAYAYA,DANCY,UNDIRECTED,3,2
ALAYAYA,TYRION,UNDIRECTED,3,2
ALEBELLY,BRAN,UNDIRECTED,7,2
ALEBELLY,HAYHEAD,UNDIRECTED,3,2
ALEBELLY,JOJEN,UNDIRECTED,6,2
ALEBELLY,MIKKEN,UNDIRECTED,3,2
ALESTER-FLORENT,CORTNAY-PENROSE,UNDIRECTED,4,2
ALESTER-FLORENT,DAVOS-SEAWORTH,UNDIRECTED,3,2
ALESTER-FLORENT,RENLY,UNDIRECTED,3,2
ALESTER-FLORENT,STANNIS,UNDIRECTED,5,2
ALLAR-DEEM,JANOS,UNDIRECTED,3,2
ALLAR-DEEM,TYRION,UNDIRECTED,4,2
ALLARD-SEAWORTH,DAVOS-SEAWORTH,UNDIRECTED,5,2
ALLARD-SEAWORTH,MARYA,UNDIRECTED,5,2
ALLARD-SEAWORTH,STANNIS,UNDIRECTED,3,2
ALLISER_THORNE,JEOR,UNDIRECTED,3,2
ALLISER_THORNE,JOFFREY,UNDIRECTED,4,2
ALLISER_THORNE,JON,UNDIRECTED,3,2
ALLISER_THORNE,TYRION,UNDIRECTED,8,2
AMABEL,ARYA,UNDIRECTED,6,2
AMABEL,HARRA,UNDIRECTED,4,2
AMORY-LORCH,ARYA,UNDIRECTED,9,2
AMORY-LORCH,CERSEI,UNDIRECTED,4,2
AMORY-LORCH,CHISWYCK,UNDIRECTED,4,2
AMORY-LORCH,DUNSEN,UNDIRECTED,3,2
AMORY-LORCH,GENDRY,UNDIRECTED,3,2
AMORY-LORCH,MOUNTAIN,UNDIRECTED,7,2
AMORY-LORCH,HOT_PIE,UNDIRECTED,3,2
AMORY-LORCH,ILYN_PAYNE,UNDIRECTED,4,2
AMORY-LORCH,JOFFREY,UNDIRECTED,7,2
AMORY-LORCH,MERYN_TRANT,UNDIRECTED,5,2
AMORY-LORCH,POLLIVER,UNDIRECTED,3,2
AMORY-LORCH,RAFFORD,UNDIRECTED,5,2
AMORY-LORCH,ROOSE_BOLTON,UNDIRECTED,3,2
AMORY-LORCH,HOUND,UNDIRECTED,5,2
AMORY-LORCH,TICKLER,UNDIRECTED,5,2
AMORY-LORCH,TYWIN,UNDIRECTED,4,2
AMORY-LORCH,VARGO-HOAT,UNDIRECTED,7,2
AMORY-LORCH,YOREN,UNDIRECTED,5,2
ARDRIAN-CELTIGAR,MONFORDELARYON,UNDIRECTED,5,2
ARON-SANTAGAR,HOUND,UNDIRECTED,3,2
ARWYN-OAKHEART,RANDYLL,UNDIRECTED,3,2
ARYA,BERIC,UNDIRECTED,5,2
ARYA,BITER,UNDIRECTED,10,2
ARYA,BRAN,UNDIRECTED,10,2
ARYA,CERSEI,UNDIRECTED,7,2
ARYA,CHISWYCK,UNDIRECTED,8,2
ARYA,DOBBER,UNDIRECTED,4,2
ARYA,DUNSEN,UNDIRECTED,3,2
ARYA,NED,UNDIRECTED,6,2
ARYA,GENDRY,UNDIRECTED,36,2
ARYA,MOUNTAIN,UNDIRECTED,4,2
ARYA,HARRA,UNDIRECTED,3,2
ARYA,HARREN-HOARE,UNDIRECTED,7,2
